"town","num_cases"
"STONNINGTON","87"
"BANYULE","77"
"BOROONDARA","59"
"GREATER GEELONG","58"
"MELBOURNE","55"
"MORNINGTON PENINSULA","55"
"CASEY","48"
"MORELAND","48"
"GLEN EIRA","45"
"PORT PHILLIP","44"
"MONASH","42"
"FRANKSTON","36"
"MOONEE VALLEY","35"
"HUME","34"
"DAREBIN","32"
"BAYSIDE","29"
"BRIMBANK","29"
"WYNDHAM","27"
"MANNINGHAM","24"
"KINGSTON","23"
"YARRA","23"
"WHITTLESEA","22"
"NILLUMBIK","21"
"WHITEHORSE","21"
"YARRA RANGES","21"
"MELTON","18"
"GREATER DANDENONG","15"
"HOBSONS BAY","13"
"KNOX","12"
"CARDINIA","11"
"MOIRA","11"
"BALLARAT","10"
"MARIBYRNONG","10"
"WELLINGTON","10"
"GREATER BENDIGO","9"
"GREATER SHEPPARTON","9"
"MAROONDAH","9"
"MITCHELL","9"
"SURF COAST","9"
"LATROBE","6"
"MOUNT ALEXANDER","6"
"BAW BAW","5"
"MACEDON RANGES","5"
"MILDURA","5"
"WARRNAMBOOL","5"
"BASS COAST","4"
"SOUTH GIPPSLAND","4"
"BENALLA","3"
"HORSHAM","3"
"LODDON","3"
"MANSFIELD","3"
"NORTHERN GRAMPIANS","3"
"SWAN HILL","3"
"CAMPASPE","2"
"HEPBURN","2"
"SOUTHERN GRAMPIANS","2"
"STRATHBOGIE","2"
"ARARAT","1"
"CENTRAL GOLDFIELDS","1"
"CORANGAMITE","1"
"EAST GIPPSLAND","1"
"GANNAWARRA","1"
"GOLDEN PLAINS","1"
"MOORABOOL","1"
"MOYNE","1"
"MURRINDINDI","1"
"WANGARATTA","1"
"WEST WIMMERA ","1"
"WODONGA","1"
"YARRIAMBIACK","1"
